Source,Target,Type,weight
5,478,undirected,1
5,511,undirected,1
6,547,undirected,1
6,422,undirected,1
6,487,undirected,1
6,106,undirected,1
6,499,undirected,1
6,591,undirected,1
6,291,undirected,1
6,55,undirected,1
6,184,undirected,1
6,506,undirected,1
6,30,undirected,1
7,128,undirected,1
7,516,undirected,1
7,519,undirected,1
7,12,undirected,1
7,398,undirected,1
7,533,undirected,1
7,285,undirected,1
7,545,undirected,1
7,35,undirected,1
7,37,undirected,1
7,295,undirected,1
7,175,undirected,1
7,571,undirected,1
7,575,undirected,1
7,194,undirected,1
7,396,undirected,1
7,547,undirected,1
7,87,undirected,1
7,228,undirected,1
7,496,undirected,1
7,505,undirected,1
7,506,undirected,1
8,258,undirected,1
8,131,undirected,1
8,267,undirected,1
8,268,undirected,1
8,271,undirected,1
8,88,undirected,1
8,535,undirected,1
8,540,undirected,1
8,157,undirected,1
8,287,undirected,1
8,420,undirected,1
8,421,undirected,1
8,550,undirected,1
8,424,undirected,1
8,427,undirected,1
8,309,undirected,1
8,188,undirected,1
8,575,undirected,1
8,581,undirected,1
8,74,undirected,1
8,205,undirected,1
8,378,undirected,1
8,467,undirected,1
8,342,undirected,1
8,472,undirected,1
8,601,undirected,1
8,118,undirected,1
8,228,undirected,1
8,358,undirected,1
8,487,undirected,1
8,238,undirected,1
8,502,undirected,1
8,505,undirected,1
8,250,undirected,1
8,508,undirected,1
9,11,undirected,1
9,12,undirected,1
9,17,undirected,1
9,531,undirected,1
9,23,undirected,1
9,24,undirected,1
9,516,undirected,1
9,538,undirected,1
9,27,undirected,1
9,29,undirected,1
9,544,undirected,1
9,548,undirected,1
9,552,undirected,1
9,558,undirected,1
9,571,undirected,1
9,575,undirected,1
9,75,undirected,1
9,78,undirected,1
9,86,undirected,1
9,87,undirected,1
9,88,undirected,1
9,602,undirected,1
9,93,undirected,1
9,97,undirected,1
9,100,undirected,1
9,101,undirected,1
9,529,undirected,1
9,106,undirected,1
9,121,undirected,1
9,150,undirected,1
9,155,undirected,1
9,157,undirected,1
9,158,undirected,1
9,159,undirected,1
9,161,undirected,1
9,539,undirected,1
9,164,undirected,1
9,168,undirected,1
9,172,undirected,1
9,174,undirected,1
9,186,undirected,1
9,191,undirected,1
9,195,undirected,1
9,203,undirected,1
9,207,undirected,1
9,209,undirected,1
9,218,undirected,1
9,229,undirected,1
9,230,undirected,1
9,233,undirected,1
9,236,undirected,1
9,237,undirected,1
9,240,undirected,1
9,244,undirected,1
9,248,undirected,1
9,250,undirected,1
9,252,undirected,1
9,262,undirected,1
9,265,undirected,1
9,271,undirected,1
9,276,undirected,1
9,277,undirected,1
9,279,undirected,1
9,284,undirected,1
9,302,undirected,1
9,304,undirected,1
9,332,undirected,1
9,342,undirected,1
9,345,undirected,1
9,348,undirected,1
9,350,undirected,1
9,351,undirected,1
9,354,undirected,1
9,355,undirected,1
9,359,undirected,1
9,360,undirected,1
9,362,undirected,1
9,369,undirected,1
9,371,undirected,1
9,374,undirected,1
9,382,undirected,1
9,385,undirected,1
9,399,undirected,1
9,410,undirected,1
9,415,undirected,1
9,418,undirected,1
9,423,undirected,1
9,440,undirected,1
9,441,undirected,1
9,446,undirected,1
9,458,undirected,1
9,459,undirected,1
9,460,undirected,1
9,463,undirected,1
9,464,undirected,1
9,466,undirected,1
9,467,undirected,1
9,472,undirected,1
9,473,undirected,1
9,479,undirected,1
9,486,undirected,1
9,487,undirected,1
9,491,undirected,1
9,504,undirected,1
10,35,undirected,1
10,324,undirected,1
10,456,undirected,1
10,206,undirected,1
10,146,undirected,1
10,149,undirected,1
10,183,undirected,1
10,59,undirected,1
10,126,undirected,1
10,309,undirected,1
11,390,undirected,1
11,394,undirected,1
11,12,undirected,1
11,13,undirected,1
11,143,undirected,1
11,146,undirected,1
11,532,undirected,1
11,407,undirected,1
11,538,undirected,1
11,545,undirected,1
11,547,undirected,1
11,548,undirected,1
11,518,undirected,1
11,309,undirected,1
11,311,undirected,1
11,568,undirected,1
11,575,undirected,1
11,505,undirected,1
11,87,undirected,1
11,473,undirected,1
11,97,undirected,1
11,98,undirected,1
11,498,undirected,1
11,20,undirected,1
11,510,undirected,1
12,513,undirected,1
12,518,undirected,1
12,15,undirected,1
12,529,undirected,1
12,532,undirected,1
12,22,undirected,1
12,23,undirected,1
12,25,undirected,1
12,538,undirected,1
12,29,undirected,1
12,544,undirected,1
12,545,undirected,1
12,548,undirected,1
12,39,undirected,1
12,558,undirected,1
12,605,undirected,1
12,48,undirected,1
12,565,undirected,1
12,54,undirected,1
12,569,undirected,1
12,60,undirected,1
12,61,undirected,1
12,577,undirected,1
12,578,undirected,1
12,70,undirected,1
12,75,undirected,1
12,79,undirected,1
12,83,undirected,1
12,88,undirected,1
12,93,undirected,1
12,100,undirected,1
12,103,undirected,1
12,108,undirected,1
12,113,undirected,1
12,115,undirected,1
12,126,undirected,1
12,164,undirected,1
12,170,undirected,1
12,175,undirected,1
12,179,undirected,1
12,186,undirected,1
12,188,undirected,1
12,192,undirected,1
12,203,undirected,1
12,209,undirected,1
12,212,undirected,1
12,213,undirected,1
12,218,undirected,1
12,229,undirected,1
12,233,undirected,1
12,250,undirected,1
12,254,undirected,1
12,255,undirected,1
12,256,undirected,1
12,264,undirected,1
12,273,undirected,1
12,277,undirected,1
12,312,undirected,1
12,319,undirected,1
12,323,undirected,1
12,331,undirected,1
12,333,undirected,1
12,342,undirected,1
12,346,undirected,1
12,348,undirected,1
12,350,undirected,1
12,351,undirected,1
12,358,undirected,1
12,360,undirected,1
12,366,undirected,1
12,371,undirected,1
12,372,undirected,1
12,374,undirected,1
12,379,undirected,1
12,386,undirected,1
12,408,undirected,1
12,413,undirected,1
12,420,undirected,1
12,433,undirected,1
12,442,undirected,1
12,454,undirected,1
12,455,undirected,1
12,459,undirected,1
12,464,undirected,1
12,473,undirected,1
12,475,undirected,1
12,481,undirected,1
12,490,undirected,1
12,491,undirected,1
12,502,undirected,1
12,504,undirected,1
12,510,undirected,1
13,519,undirected,1
13,520,undirected,1
13,531,undirected,1
13,537,undirected,1
13,26,undirected,1
13,27,undirected,1
13,540,undirected,1
13,542,undirected,1
13,543,undirected,1
13,548,undirected,1
13,554,undirected,1
13,44,undirected,1
13,46,undirected,1
13,56,undirected,1
13,572,undirected,1
13,61,undirected,1
13,63,undirected,1
13,583,undirected,1
13,584,undirected,1
13,73,undirected,1
13,74,undirected,1
13,78,undirected,1
13,80,undirected,1
13,88,undirected,1
13,93,undirected,1
13,95,undirected,1
13,609,undirected,1
13,107,undirected,1
13,117,undirected,1
13,126,undirected,1
13,128,undirected,1
13,131,undirected,1
13,133,undirected,1
13,136,undirected,1
13,143,undirected,1
13,25,undirected,1
13,164,undirected,1
13,165,undirected,1
13,171,undirected,1
13,176,undirected,1
13,180,undirected,1
13,189,undirected,1
13,196,undirected,1
13,204,undirected,1
13,208,undirected,1
13,209,undirected,1
13,218,undirected,1
13,231,undirected,1
13,233,undirected,1
13,251,undirected,1
13,254,undirected,1
13,258,undirected,1
13,265,undirected,1
13,266,undirected,1
13,267,undirected,1
13,268,undirected,1
13,272,undirected,1
13,279,undirected,1
13,282,undirected,1
13,290,undirected,1
13,298,undirected,1
13,300,undirected,1
13,302,undirected,1
13,310,undirected,1
13,311,undirected,1
13,312,undirected,1
13,319,undirected,1
13,327,undirected,1
13,331,undirected,1
13,335,undirected,1
13,337,undirected,1
13,338,undirected,1
13,342,undirected,1
13,343,undirected,1
13,355,undirected,1
13,358,undirected,1
13,366,undirected,1
13,367,undirected,1
13,371,undirected,1
13,375,undirected,1
13,378,undirected,1
13,382,undirected,1
13,407,undirected,1
13,419,undirected,1
13,420,undirected,1
13,427,undirected,1
13,430,undirected,1
13,435,undirected,1
13,585,undirected,1
13,445,undirected,1
13,459,undirected,1
13,460,undirected,1
13,463,undirected,1
13,465,undirected,1
13,468,undirected,1
13,471,undirected,1
13,475,undirected,1
13,490,undirected,1
13,494,undirected,1
13,495,undirected,1
13,503,undirected,1
13,504,undirected,1
13,505,undirected,1
13,508,undirected,1
14,389,undirected,1
14,108,undirected,1
14,143,undirected,1
14,146,undirected,1
14,149,undirected,1
14,408,undirected,1
14,155,undirected,1
14,544,undirected,1
14,289,undirected,1
14,418,undirected,1
14,295,undirected,1
14,567,undirected,1
14,568,undirected,1
14,445,undirected,1
14,450,undirected,1
14,546,undirected,1
14,463,undirected,1
14,341,undirected,1
14,87,undirected,1
14,472,undirected,1
14,92,undirected,1
14,236,undirected,1
14,238,undirected,1
14,123,undirected,1
15,384,undirected,1
15,257,undirected,1
15,130,undirected,1
15,516,undirected,1
15,519,undirected,1
15,521,undirected,1
15,138,undirected,1
15,530,undirected,1
15,278,undirected,1
15,345,undirected,1
15,281,undirected,1
15,283,undirected,1
15,544,undirected,1
15,289,undirected,1
15,547,undirected,1
15,421,undirected,1
15,422,undirected,1
15,423,undirected,1
15,429,undirected,1
15,54,undirected,1
15,440,undirected,1
15,444,undirected,1
15,394,undirected,1
15,446,undirected,1
15,575,undirected,1
15,192,undirected,1
15,450,undirected,1
15,566,undirected,1
15,455,undirected,1
15,74,undirected,1
15,207,undirected,1
15,568,undirected,1
15,467,undirected,1
15,473,undirected,1
15,90,undirected,1
15,478,undirected,1
15,225,undirected,1
15,355,undirected,1
15,360,undirected,1
15,236,undirected,1
15,481,undirected,1
15,545,undirected,1
15,374,undirected,1
15,120,undirected,1
16,291,undirected,1
16,396,undirected,1
16,557,undirected,1
16,206,undirected,1
16,467,undirected,1
16,564,undirected,1
16,270,undirected,1
16,55,undirected,1
16,85,undirected,1
16,245,undirected,1
17,320,undirected,1
17,97,undirected,1
17,278,undirected,1
17,35,undirected,1
17,324,undirected,1
17,389,undirected,1
17,519,undirected,1
17,360,undirected,1
17,299,undirected,1
17,502,undirected,1
17,392,undirected,1
17,545,undirected,1
17,406,undirected,1
17,120,undirected,1
17,250,undirected,1
17,255,undirected,1
17,459,undirected,1
17,533,undirected,1
18,576,undirected,1
18,545,undirected,1
18,578,undirected,1
18,35,undirected,1
18,389,undirected,1
18,299,undirected,1
18,270,undirected,1
18,547,undirected,1
18,85,undirected,1
18,502,undirected,1
18,55,undirected,1
18,568,undirected,1
18,505,undirected,1
18,250,undirected,1
18,506,undirected,1
18,478,undirected,1
18,421,undirected,1
19,513,undirected,1
19,258,undirected,1
19,291,undirected,1
19,388,undirected,1
19,358,undirected,1
19,487,undirected,1
19,106,undirected,1
19,139,undirected,1
19,108,undirected,1
19,578,undirected,1
19,499,undirected,1
19,184,undirected,1
20,386,undirected,1
20,516,undirected,1
20,138,undirected,1
20,270,undirected,1
20,146,undirected,1
20,147,undirected,1
20,276,undirected,1
20,149,undirected,1
20,23,undirected,1
20,127,undirected,1
20,409,undirected,1
20,26,undirected,1
20,157,undirected,1
20,158,undirected,1
20,31,undirected,1
20,417,undirected,1
20,548,undirected,1
20,168,undirected,1
20,429,undirected,1
20,175,undirected,1
20,433,undirected,1
20,52,undirected,1
20,181,undirected,1
20,54,undirected,1
20,183,undirected,1
20,56,undirected,1
20,564,undirected,1
20,87,undirected,1
20,543,undirected,1
20,444,undirected,1
20,61,undirected,1
20,575,undirected,1
20,193,undirected,1
20,407,undirected,1
20,337,undirected,1
20,437,undirected,1
20,75,undirected,1
20,209,undirected,1
20,468,undirected,1
20,85,undirected,1
20,569,undirected,1
20,88,undirected,1
20,218,undirected,1
20,250,undirected,1
20,350,undirected,1
20,481,undirected,1
20,229,undirected,1
20,358,undirected,1
20,465,undirected,1
20,360,undirected,1
20,487,undirected,1
20,366,undirected,1
20,498,undirected,1
20,511,undirected,1
20,505,undirected,1
20,378,undirected,1
20,191,undirected,1
20,252,undirected,1
20,277,undirected,1
21,576,undirected,1
21,467,undirected,1
21,530,undirected,1
21,499,undirected,1
21,245,undirected,1
21,278,undirected,1
21,571,undirected,1
22,384,undirected,1
22,130,undirected,1
22,363,undirected,1
22,134,undirected,1
22,394,undirected,1
22,397,undirected,1
22,146,undirected,1
22,67,undirected,1
22,278,undirected,1
22,27,undirected,1
22,285,undirected,1
22,162,undirected,1
22,155,undirected,1
22,518,undirected,1
22,422,undirected,1
22,295,undirected,1
22,455,undirected,1
22,557,undirected,1
22,176,undirected,1
22,433,undirected,1
22,54,undirected,1
22,188,undirected,1
22,192,undirected,1
22,323,undirected,1
22,197,undirected,1
22,583,undirected,1
22,461,undirected,1
22,465,undirected,1
22,93,undirected,1
22,479,undirected,1
22,423,undirected,1
22,530,undirected,1
22,451,undirected,1
22,255,undirected,1
22,242,undirected,1
22,147,undirected,1
22,501,undirected,1
22,502,undirected,1
22,507,undirected,1
22,127,undirected,1
23,512,undirected,1
23,257,undirected,1
23,130,undirected,1
23,299,undirected,1
23,516,undirected,1
23,138,undirected,1
23,270,undirected,1
23,271,undirected,1
23,401,undirected,1
23,147,undirected,1
23,533,undirected,1
23,56,undirected,1
23,24,undirected,1
23,26,undirected,1
23,184,undirected,1
23,538,undirected,1
23,542,undirected,1
23,544,undirected,1
23,35,undirected,1
23,421,undirected,1
23,291,undirected,1
23,427,undirected,1
23,429,undirected,1
23,558,undirected,1
23,565,undirected,1
23,54,undirected,1
23,311,undirected,1
23,568,undirected,1
23,569,undirected,1
23,58,undirected,1
23,571,undirected,1
23,61,undirected,1
23,394,undirected,1
23,319,undirected,1
23,65,undirected,1
23,67,undirected,1
23,581,undirected,1
23,582,undirected,1
23,225,undirected,1
23,459,undirected,1
23,207,undirected,1
23,440,undirected,1
23,118,undirected,1
23,547,undirected,1
23,340,undirected,1
23,86,undirected,1
23,87,undirected,1
23,355,undirected,1
23,92,undirected,1
23,93,undirected,1
23,350,undirected,1
23,351,undirected,1
23,609,undirected,1
23,408,undirected,1
23,443,undirected,1
23,228,undirected,1
23,229,undirected,1
23,486,undirected,1
23,438,undirected,1
23,487,undirected,1
23,468,undirected,1
23,549,undirected,1
23,238,undirected,1
23,446,undirected,1
23,502,undirected,1
23,119,undirected,1
23,504,undirected,1
23,505,undirected,1
23,250,undirected,1
23,447,undirected,1
23,252,undirected,1
23,511,undirected,1
24,384,undirected,1
24,259,undirected,1
24,516,undirected,1
24,392,undirected,1
24,396,undirected,1
24,269,undirected,1
24,271,undirected,1
24,403,undirected,1
24,533,undirected,1
24,536,undirected,1
24,281,undirected,1
24,538,undirected,1
24,27,undirected,1
24,90,undirected,1
24,35,undirected,1
24,92,undirected,1
24,433,undirected,1
24,54,undirected,1
24,188,undirected,1
24,97,undirected,1
24,206,undirected,1
24,207,undirected,1
24,343,undirected,1
24,472,undirected,1
24,218,undirected,1
24,476,undirected,1
24,96,undirected,1
24,481,undirected,1
24,228,undirected,1
24,252,undirected,1
24,106,undirected,1
24,114,undirected,1
24,118,undirected,1
24,248,undirected,1
24,505,undirected,1
24,250,undirected,1
24,508,undirected,1
25,130,undirected,1
25,388,undirected,1
25,394,undirected,1
25,523,undirected,1
25,88,undirected,1
25,146,undirected,1
25,405,undirected,1
25,278,undirected,1
25,279,undirected,1
25,408,undirected,1
25,155,undirected,1
25,542,undirected,1
25,546,undirected,1
25,164,undirected,1
25,421,undirected,1
25,550,undirected,1
25,423,undirected,1
25,299,undirected,1
25,558,undirected,1
25,175,undirected,1
25,183,undirected,1
25,313,undirected,1
25,575,undirected,1
25,65,undirected,1
25,450,undirected,1
25,324,undirected,1
25,69,undirected,1
25,71,undirected,1
25,456,undirected,1
25,201,undirected,1
25,459,undirected,1
25,204,undirected,1
25,335,undirected,1
25,336,undirected,1
25,120,undirected,1
25,118,undirected,1
25,341,undirected,1
25,472,undirected,1
25,548,undirected,1
25,463,undirected,1
25,93,undirected,1
25,352,undirected,1
25,97,undirected,1
25,228,undirected,1
25,106,undirected,1
25,374,undirected,1
25,119,undirected,1
25,504,undirected,1
25,251,undirected,1
25,460,undirected,1
25,511,undirected,1
26,257,undirected,1
26,131,undirected,1
26,97,undirected,1
26,118,undirected,1
26,393,undirected,1
26,535,undirected,1
26,270,undirected,1
26,237,undirected,1
26,400,undirected,1
26,88,undirected,1
26,146,undirected,1
26,259,undirected,1
26,277,undirected,1
26,152,undirected,1
26,281,undirected,1
26,538,undirected,1
26,155,undirected,1
26,285,undirected,1
26,416,undirected,1
26,164,undirected,1
26,487,undirected,1
26,424,undirected,1
26,557,undirected,1
26,413,undirected,1
26,561,undirected,1
26,306,undirected,1
26,51,undirected,1
26,59,undirected,1
26,61,undirected,1
26,319,undirected,1
26,562,undirected,1
26,65,undirected,1
26,435,undirected,1
26,451,undirected,1
26,197,undirected,1
26,71,undirected,1
26,72,undirected,1
26,74,undirected,1
26,331,undirected,1
26,79,undirected,1
26,115,undirected,1
26,75,undirected,1
26,85,undirected,1
26,472,undirected,1
26,473,undirected,1
26,90,undirected,1
26,92,undirected,1
26,221,undirected,1
26,479,undirected,1
26,481,undirected,1
26,187,undirected,1
26,178,undirected,1
26,360,undirected,1
26,431,undirected,1
26,103,undirected,1
26,492,undirected,1
26,338,undirected,1
26,366,undirected,1
26,495,undirected,1
26,371,undirected,1
26,510,undirected,1
26,502,undirected,1
26,375,undirected,1
26,248,undirected,1
26,505,undirected,1
26,250,undirected,1
26,575,undirected,1
26,252,undirected,1
26,345,undirected,1
27,258,undirected,1
27,439,undirected,1
27,519,undirected,1
27,138,undirected,1
27,526,undirected,1
27,152,undirected,1
27,154,undirected,1
27,540,undirected,1
27,218,undirected,1
27,30,undirected,1
27,545,undirected,1
27,291,undirected,1
27,548,undirected,1
27,549,undirected,1
27,550,undirected,1
27,423,undirected,1
27,455,undirected,1
27,44,undirected,1
27,46,undirected,1
27,521,undirected,1
27,568,undirected,1
27,443,undirected,1
27,444,undirected,1
27,189,undirected,1
27,575,undirected,1
27,65,undirected,1
27,459,undirected,1
27,118,undirected,1
27,326,undirected,1
27,583,undirected,1
27,311,undirected,1
27,461,undirected,1
27,207,undirected,1
27,208,undirected,1
27,99,undirected,1
27,468,undirected,1
27,85,undirected,1
27,87,undirected,1
27,473,undirected,1
27,90,undirected,1
27,351,undirected,1
27,481,undirected,1
27,227,undirected,1
27,228,undirected,1
27,536,undirected,1
27,487,undirected,1
27,360,undirected,1
27,363,undirected,1
27,108,undirected,1
27,336,undirected,1
27,467,undirected,1
27,502,undirected,1
27,505,undirected,1
27,251,undirected,1
27,125,undirected,1
27,511,undirected,1
28,467,undirected,1
28,92,undirected,1
28,214,undirected,1
28,175,undirected,1
29,192,undirected,1
29,258,undirected,1
29,171,undirected,1
29,519,undirected,1
29,271,undirected,1
29,147,undirected,1
29,404,undirected,1
29,238,undirected,1
29,278,undirected,1
29,159,undirected,1
29,289,undirected,1
29,547,undirected,1
29,548,undirected,1
29,299,undirected,1
29,49,undirected,1
29,54,undirected,1
29,184,undirected,1
29,443,undirected,1
29,188,undirected,1
29,190,undirected,1
29,319,undirected,1
29,320,undirected,1
29,65,undirected,1
29,396,undirected,1
29,459,undirected,1
29,77,undirected,1
29,467,undirected,1
29,213,undirected,1
29,87,undirected,1
29,571,undirected,1
29,360,undirected,1
29,60,undirected,1
29,366,undirected,1
29,245,undirected,1
29,505,undirected,1
29,250,undirected,1
29,123,undirected,1
29,383,undirected,1
30,128,undirected,1
30,258,undirected,1
30,393,undirected,1
30,395,undirected,1
30,94,undirected,1
30,527,undirected,1
30,529,undirected,1
30,402,undirected,1
30,531,undirected,1
30,537,undirected,1
30,286,undirected,1
30,161,undirected,1
30,293,undirected,1
30,294,undirected,1
30,167,undirected,1
30,552,undirected,1
30,299,undirected,1
30,174,undirected,1
30,52,undirected,1
30,542,undirected,1
30,185,undirected,1
30,574,undirected,1
30,447,undirected,1
30,320,undirected,1
30,69,undirected,1
30,457,undirected,1
30,458,undirected,1
30,239,undirected,1
30,463,undirected,1
30,340,undirected,1
30,441,undirected,1
30,88,undirected,1
30,350,undirected,1
30,351,undirected,1
30,97,undirected,1
30,484,undirected,1
30,229,undirected,1
30,485,undirected,1
30,109,undirected,1
30,367,undirected,1
30,243,undirected,1
30,116,undirected,1
30,502,undirected,1
30,121,undirected,1
30,381,undirected,1
30,126,undirected,1
31,192,undirected,1
31,258,undirected,1
31,518,undirected,1
31,396,undirected,1
31,430,undirected,1
31,538,undirected,1
31,157,undirected,1
31,289,undirected,1
31,291,undirected,1
31,164,undirected,1
31,294,undirected,1
31,426,undirected,1
31,556,undirected,1
31,429,undirected,1
31,558,undirected,1
31,285,undirected,1
31,433,undirected,1
31,306,undirected,1
31,188,undirected,1
31,61,undirected,1
31,319,undirected,1
31,576,undirected,1
31,75,undirected,1
31,196,undirected,1
31,69,undirected,1
31,583,undirected,1
31,459,undirected,1
31,460,undirected,1
31,335,undirected,1
31,209,undirected,1
31,210,undirected,1
31,343,undirected,1
31,472,undirected,1
31,218,undirected,1
31,550,undirected,1
31,487,undirected,1
31,360,undirected,1
31,60,undirected,1
31,234,undirected,1
31,108,undirected,1
31,366,undirected,1
31,241,undirected,1
31,498,undirected,1
31,502,undirected,1
31,375,undirected,1
31,504,undirected,1
31,378,undirected,1
31,127,undirected,1
31,511,undirected,1
32,513,undirected,1
32,138,undirected,1
32,139,undirected,1
32,528,undirected,1
32,401,undirected,1
32,146,undirected,1
32,278,undirected,1
32,285,undirected,1
32,299,undirected,1
32,433,undirected,1
32,568,undirected,1
32,449,undirected,1
32,331,undirected,1
32,77,undirected,1
32,591,undirected,1
32,209,undirected,1
32,472,undirected,1
32,106,undirected,1
32,499,undirected,1
32,375,undirected,1
32,505,undirected,1
32,250,undirected,1
33,384,undirected,1
33,97,undirected,1
33,450,undirected,1
33,228,undirected,1
33,257,undirected,1
33,426,undirected,1
33,327,undirected,1
33,143,undirected,1
33,120,undirected,1
33,371,undirected,1
33,52,undirected,1
33,407,undirected,1
33,248,undirected,1
33,576,undirected,1
33,154,undirected,1
33,591,undirected,1
33,218,undirected,1
34,67,undirected,1
34,518,undirected,1
34,392,undirected,1
34,363,undirected,1
34,271,undirected,1
34,114,undirected,1
34,148,undirected,1
34,85,undirected,1
34,214,undirected,1
34,538,undirected,1
35,513,undirected,1
35,515,undirected,1
35,141,undirected,1
35,173,undirected,1
35,147,undirected,1
35,534,undirected,1
35,409,undirected,1
35,282,undirected,1
35,283,undirected,1
35,158,undirected,1
35,415,undirected,1
35,289,undirected,1
35,166,undirected,1
35,39,undirected,1
35,298,undirected,1
35,391,undirected,1
35,557,undirected,1
35,431,undirected,1
35,48,undirected,1
35,305,undirected,1
35,178,undirected,1
35,253,undirected,1
35,286,undirected,1
35,440,undirected,1
35,313,undirected,1
35,316,undirected,1
35,266,undirected,1
35,319,undirected,1
35,454,undirected,1
35,332,undirected,1
35,462,undirected,1
35,339,undirected,1
35,469,undirected,1
35,220,undirected,1
35,477,undirected,1
35,607,undirected,1
35,485,undirected,1
35,103,undirected,1
35,490,undirected,1
35,61,undirected,1
35,243,undirected,1
35,246,undirected,1
35,153,undirected,1
35,234,undirected,1
35,254,undirected,1
36,130,undirected,1
36,259,undirected,1
36,389,undirected,1
36,134,undirected,1
36,396,undirected,1
36,525,undirected,1
36,398,undirected,1
36,271,undirected,1
36,544,undirected,1
36,418,undirected,1
36,291,undirected,1
36,518,undirected,1
36,299,undirected,1
36,430,undirected,1
36,176,undirected,1
36,433,undirected,1
36,568,undirected,1
36,443,undirected,1
36,60,undirected,1
36,449,undirected,1
36,324,undirected,1
36,197,undirected,1
36,71,undirected,1
36,335,undirected,1
36,526,undirected,1
36,214,undirected,1
36,601,undirected,1
36,97,undirected,1
36,99,undirected,1
36,228,undirected,1
36,583,undirected,1
36,118,undirected,1
36,506,undirected,1
36,511,undirected,1
36,213,undirected,1
37,256,undirected,1
37,129,undirected,1
37,514,undirected,1
37,393,undirected,1
37,275,undirected,1
37,149,undirected,1
37,151,undirected,1
37,152,undirected,1
37,540,undirected,1
37,416,undirected,1
37,241,undirected,1
37,424,undirected,1
37,41,undirected,1
37,519,undirected,1
37,302,undirected,1
37,243,undirected,1
37,196,undirected,1
37,325,undirected,1
37,454,undirected,1
37,71,undirected,1
37,585,undirected,1
37,204,undirected,1
37,471,undirected,1
37,603,undirected,1
37,96,undirected,1
37,97,undirected,1
37,482,undirected,1
37,357,undirected,1
37,246,undirected,1
37,363,undirected,1
37,492,undirected,1
37,112,undirected,1
37,497,undirected,1
37,531,undirected,1
37,118,undirected,1
37,225,undirected,1
37,533,undirected,1
38,513,undirected,1
38,393,undirected,1
38,272,undirected,1
38,278,undirected,1
38,538,undirected,1
38,157,undirected,1
38,289,undirected,1
38,421,undirected,1
38,550,undirected,1
38,297,undirected,1
38,556,undirected,1
38,430,undirected,1
38,285,undirected,1
38,306,undirected,1
38,309,undirected,1
38,310,undirected,1
38,575,undirected,1
38,449,undirected,1
38,450,undirected,1
38,195,undirected,1
38,581,undirected,1
38,456,undirected,1
38,74,undirected,1
38,459,undirected,1
38,460,undirected,1
38,205,undirected,1
38,209,undirected,1
38,338,undirected,1
38,467,undirected,1
38,212,undirected,1
38,214,undirected,1
38,472,undirected,1
38,473,undirected,1
38,478,undirected,1
38,351,undirected,1
38,481,undirected,1
38,98,undirected,1
38,487,undirected,1
38,491,undirected,1
38,366,undirected,1
38,502,undirected,1
38,504,undirected,1
38,250,undirected,1
38,508,undirected,1
39,384,undirected,1
39,258,undirected,1
39,388,undirected,1
39,389,undirected,1
39,548,undirected,1
39,421,undirected,1
39,550,undirected,1
39,433,undirected,1
39,178,undirected,1
39,184,undirected,1
39,576,undirected,1
39,449,undirected,1
39,456,undirected,1
39,459,undirected,1
39,460,undirected,1
39,205,undirected,1
39,120,undirected,1
39,547,undirected,1
39,341,undirected,1
39,214,undirected,1
39,358,undirected,1
39,488,undirected,1
39,499,undirected,1
39,504,undirected,1
39,378,undirected,1
39,251,undirected,1
40,258,undirected,1
40,131,undirected,1
